BRAN , UDAFTB , REFERENCE , 1000
BRAN , UDASTB , TEXT , 1000
BRAN , :PFILoose , TEXT , 5
BRAN , :PFILExcess , TEXT , 10
BRAN , :PFIAExcess , TEXT , 10
BRAN , :PFConsChk , LOGICAL , 1
BRAN , :PsiSystem , REFERENCE , 120
BRAN , :PSILineNum , TEXT , 20
BRAN , :PSILineColor , REAL , 1
BRAN , :PSILineVisib , REAL , 1
BRAN , :HXYsize , REAL , 2
BRAN , :TXYsize , REAL , 2
BRAN , :MDSComment , TEXT , 120
BRAN , :MDSDType , TEXT , 20
BRAN , :MDSTrun , LOGICAL , 1
ELBO , UDTYPE , INTEGER , 1
ELBO , TYPEX , INTEGER , 1
ELBO , NAME , TEXT , 500
ELBO , POS , POSITION , 3
ELBO , ORI , ORIENTATION , 3
ELBO , UNIPAR , WORD , 100
ELBO , DESP , REAL , 100
ELBO , BUIL , LOGICAL , 1
ELBO , SHOP , LOGICAL , 1
ELBO , ISOHIDDEN , LOGICAL , 1
ELBO , SPRE , REFERENCE , 1
ELBO , LSTU , REFERENCE , 1
ELBO , ARRI , INTEGER , 1
ELBO , LEAV , INTEGER , 1
ELBO , ORIF , LOGICAL , 1
ELBO , POSF , LOGICAL , 1
ELBO , ISPE , REFERENCE , 1
ELBO , TSPE , REFERENCE , 1
ELBO , ANGL , REAL , 1
ELBO , RADI , REAL , 1
ELBO , CREF , REFERENCE , 1
ELBO , SPAM , INTEGER , 1
ELBO , WDATUM , INTEGER , 6
ELBO , SPAM , INTEGER , 1
ELBO , CSFBR , LOGICAL , 1
ELBO , TSFBR , LOGICAL , 1
ELBO , ASFBR , LOGICAL , 1
ELBO , LSFBR , LOGICAL , 1
ELBO , SPLN , TEXT , 120
ELBO , SPLT , TEXT , 120
ELBO , MTOR , REFERENCE , 20
ELBO , CMPX , TEXT , 20
ELBO , PTNO , INTEGER , 1
ELBO , PTNT , INTEGER , 1
ELBO , PTNB , INTEGER , 20
ELBO , JNUM , INTEGER , 2
ELBO , JOIP , WORD , 2
ELBO , MTOC , WORD , 1
ELBO , MTOT , WORD , 1
ELBO , MTOX , INTEGER , 20
ELBO , SPSP , TEXT , 2
ELBO , DPFN , TEXT , 1024
ELBO , DPGRID , INTEGER , 1
ELBO , NWELDS , INTEGER , 1
ELBO , DMTY , WORD , 2
ELBO , DMFA , REFERENCE , 2
ELBO , ORRF , REFERENCE , 1
ELBO , INVF , REFERENCE , 500
ELBO , RREF , REFERENCE , 500
ELBO , RATM , WORD , 500
ELBO , RATS , WORD , 500
ELBO , BSEL , TEXT , 3
ELBO , MATN , TEXT , 1000
ELBO , RLOC , INTEGER , 1
ELBO , RLIN , REFERENCE , 20
ELBO , RLEX , REFERENCE , 20
ELBO , HREL , LOGICAL , 1
ELBO , SPKCHG , REFERENCE , 1
ELBO , DELDSG , WORD , 1
ELBO , INPRTR , REFERENCE , 1
ELBO , OUPRTR , REFERENCE , 1
